AT-2-Tipo5:DO = [0.935, 0.933, 0.927, 0.921, 0.916, 0.921, 0.927, 0.86, 0.907, 0.938, 0.91, 0.896, 0.854, 0.899, 0.899, 0.89, 0.907, 0.986, 1.0, 0.986, 0.994, 0.986, 0.888, 0.511, 0.466, 0.388, 0.368, 0.365, 0.354, 0.348, 0.346, 0.357, 0.346, 0.34, 0.348, 0.371, 0.421, 0.396, 0.511, 0.64, 0.705, 0.742, 0.767, 0.815, 0.846, 0.787, 0.792, 0.809, 0.809, 0.82, 0.879, 0.792, 0.815, 0.862, 0.89, 0.823, 0.823, 0.826, 0.84, 0.882, 0.888, 0.888, 0.865, 0.823, 0.843, 0.837, 0.826, 0.826, 0.829, 0.837, 0.843, 0.846, 0.84, 0.865, 0.86, 0.862, 0.888, 0.871, 0.876, 0.868, 0.846, 0.865, 0.879, 0.868, 0.882, 0.89, 0.876, 0.871, 0.848, 0.876, 0.86, 0.84, 0.798, 0.801, 0.831, 0.843]
AT-2-Tipo6:DU = [0.785, 0.793, 0.777, 0.801, 0.841, 0.825, 0.813, 0.829, 0.845, 0.789, 0.781, 0.777, 0.769, 0.745, 0.773, 0.785, 0.781, 0.765, 0.805, 0.805, 0.801, 0.749, 0.765, 0.789, 0.817, 0.805, 0.777, 0.765, 0.757, 0.793, 0.793, 0.817, 0.829, 0.865, 0.869, 0.849, 0.841, 0.857, 0.861, 0.888, 0.869, 0.876, 0.912, 0.892, 0.884, 0.92, 0.92, 0.912, 0.908, 0.94, 0.928, 0.964, 0.944, 0.976, 0.948, 0.972, 0.94, 0.956, 0.976, 1.0, 0.98, 0.96, 0.956, 0.94, 0.948, 0.92, 0.932, 0.924, 0.924, 0.928, 0.972, 0.936, 0.924, 0.908, 0.908, 0.908, 0.912, 0.932, 0.936, 0.92, 0.896, 0.9, 0.888, 0.88, 0.873, 0.88, 0.892, 0.88, 0.876, 0.876, 0.876, 0.849, 0.837, 0.833, 0.797, 0.797]
AT-2-Tipo6:SA = [0.857, 0.841, 0.833, 0.841, 0.801, 0.801, 0.821, 0.765, 0.829, 0.817, 0.817, 0.781, 0.773, 0.769, 0.765, 0.749, 0.777, 0.801, 0.821, 0.829, 0.813, 0.809, 0.817, 0.801, 0.793, 0.805, 0.817, 0.781, 0.777, 0.785, 0.841, 0.825, 0.861, 0.849, 0.805, 0.825, 0.857, 0.865, 0.88, 0.884, 0.892, 0.861, 0.912, 0.793, 0.805, 0.813, 0.873, 0.896, 0.908, 0.9, 0.892, 0.908, 0.928, 0.936, 0.948, 0.972, 0.96, 0.984, 0.976, 0.996, 0.976, 0.952, 0.96, 0.98, 0.996, 1.0, 0.992, 0.976, 0.964, 0.98, 0.964, 0.996, 0.944, 0.932, 0.912, 0.92, 0.928, 0.924, 0.904, 0.916, 0.948, 0.884, 0.861, 0.829, 0.861, 0.94, 0.908, 0.888, 0.9, 0.88, 0.88, 0.88, 0.896, 0.884, 0.805, 0.777]
AT-2-Tipo6:DO = [0.965, 0.96, 0.975, 0.995, 0.99, 1.0, 0.98, 0.985, 0.98, 0.97, 0.98, 0.975, 0.98, 0.985, 0.98, 0.975, 0.95, 0.96, 0.955, 0.955, 0.96, 0.97, 0.955, 0.965, 0.96, 0.96, 0.935, 0.93, 0.93, 0.89, 0.885, 0.89, 0.88, 0.865, 0.88, 0.875, 0.885, 0.88, 0.87, 0.82, 0.84, 0.86, 0.905, 0.895, 0.92, 0.89, 0.855, 0.85, 0.885, 0.905, 0.905, 0.9, 0.895, 0.89, 0.88, 0.87, 0.875, 0.89, 0.865, 0.85, 0.83, 0.82, 0.83, 0.85, 0.85, 0.87, 0.855, 0.84, 0.84, 0.87, 0.865, 0.885, 0.865, 0.86, 0.865, 0.87, 0.87, 0.875, 0.885, 0.875, 0.88, 0.865, 0.86, 0.84, 0.835, 0.865, 0.9, 0.88, 0.86, 0.865, 0.89, 0.88, 0.875, 0.855, 0.855, 0.875]
RUR-Tipo4:SA = [0.447, 0.458, 0.414, 0.421, 0.397, 0.399, 0.406, 0.408, 0.394, 0.398, 0.38, 0.372, 0.383, 0.394, 0.372, 0.358, 0.374, 0.398, 0.387, 0.365, 0.35, 0.377, 0.41, 0.434, 0.536, 0.405, 0.462, 0.519, 0.543, 0.459, 0.564, 0.5, 0.498, 0.553, 0.584, 0.562, 0.536, 0.601, 0.598, 0.668, 0.689, 0.623, 0.633, 0.789, 0.84, 0.699, 0.815, 0.812, 0.849, 0.817, 0.699, 0.756, 0.82, 0.768, 0.84, 0.663, 0.633, 0.585, 0.563, 0.615, 0.701, 0.597, 0.697, 0.697, 0.676, 0.561, 0.587, 0.642, 0.802, 0.81, 0.853, 0.811, 0.719, 0.965, 0.81, 0.81, 0.908, 1.0, 0.996, 0.912, 0.779, 0.795, 0.787, 0.778, 0.931, 0.863, 0.726, 0.68, 0.697, 0.636, 0.692, 0.627, 0.581, 0.631, 0.626, 0.66]
RUR-Tipo4:DO = [0.608, 0.628, 0.648, 0.54, 0.532, 0.555, 0.51, 0.475, 0.512, 0.47, 0.488, 0.463, 0.454, 0.466, 0.457, 0.409, 0.417, 0.409, 0.457, 0.393, 0.398, 0.413, 0.404, 0.436, 0.494, 0.514, 0.561, 0.584, 0.633, 0.582, 0.576, 0.56, 0.561, 0.615, 0.699, 0.642, 0.733, 0.902, 0.884, 0.753, 0.712, 0.858, 0.707, 0.697, 0.74, 0.747, 0.695, 0.847, 0.743, 0.944, 0.912, 0.903, 0.873, 0.942, 0.918, 0.928, 0.909, 0.94, 0.892, 1.0, 0.804, 0.743, 0.694, 0.707, 0.783, 0.815, 0.709, 0.692, 0.647, 0.619, 0.689, 0.815, 0.768, 0.793, 0.78, 0.712, 0.955, 0.875, 0.743, 0.901, 0.682, 0.769, 0.64, 0.709, 0.697, 0.648, 0.608, 0.695, 0.573, 0.609, 0.572, 0.487, 0.451, 0.46, 0.465, 0.467]
RUR-Tipo5:DU = [0.168, 0.165, 0.158, 0.145, 0.131, 0.132, 0.129, 0.139, 0.131, 0.135, 0.136, 0.134, 0.124, 0.131, 0.129, 0.125, 0.133, 0.122, 0.121, 0.13, 0.135, 0.132, 0.123, 0.136, 0.151, 0.163, 0.159, 0.159, 0.167, 0.214, 0.291, 0.285, 0.361, 0.384, 0.377, 0.436, 0.495, 0.493, 0.514, 0.544, 0.561, 0.554, 0.586, 0.601, 0.622, 0.655, 0.855, 0.803, 0.832, 0.847, 0.845, 0.877, 0.866, 0.883, 0.892, 0.895, 0.897, 0.922, 1.0, 0.979, 0.986, 0.994, 0.967, 0.944, 0.971, 0.955, 0.982, 0.943, 0.959, 0.902, 0.851, 0.89, 0.917, 0.944, 0.906, 0.876, 0.828, 0.668, 0.639, 0.468, 0.398, 0.396, 0.369, 0.388, 0.373, 0.364, 0.342, 0.342, 0.319, 0.244, 0.251, 0.208, 0.216, 0.209, 0.216, 0.212]
RUR-Tipo5:SA = [0.325, 0.326, 0.321, 0.308, 0.272, 0.264, 0.269, 0.27, 0.263, 0.255, 0.264, 0.268, 0.279, 0.253, 0.26, 0.265, 0.262, 0.269, 0.257, 0.26, 0.257, 0.261, 0.261, 0.268, 0.249, 0.255, 0.24, 0.287, 0.347, 0.377, 0.428, 0.451, 0.432, 0.458, 0.548, 0.592, 0.807, 0.854, 0.873, 0.927, 0.909, 0.899, 0.933, 0.96, 0.986, 0.99, 0.905, 0.873, 0.881, 0.938, 0.932, 0.899, 0.929, 1.0, 0.964, 0.945, 0.911, 0.888, 0.878, 0.869, 0.896, 0.877, 0.782, 0.831, 0.83, 0.819, 0.791, 0.685, 0.676, 0.649, 0.62, 0.617, 0.591, 0.589, 0.546, 0.55, 0.338, 0.326, 0.346, 0.306, 0.337, 0.326, 0.336, 0.352, 0.307, 0.305, 0.324, 0.304, 0.295, 0.284, 0.302, 0.302, 0.283, 0.266, 0.267, 0.278]
RUR-Tipo5:DO = [0.29, 0.271, 0.281, 0.271, 0.289, 0.303, 0.277, 0.263, 0.268, 0.265, 0.259, 0.262, 0.259, 0.252, 0.253, 0.25, 0.245, 0.239, 0.252, 0.271, 0.257, 0.259, 0.248, 0.259, 0.268, 0.223, 0.239, 0.251, 0.24, 0.263, 0.274, 0.288, 0.314, 0.319, 0.285, 0.34, 0.338, 0.375, 0.523, 0.6, 0.624, 0.571, 0.587, 0.614, 0.744, 0.899, 0.952, 0.977, 0.971, 0.937, 0.936, 0.93, 0.919, 0.934, 0.954, 1.0, 0.986, 0.95, 0.927, 0.96, 0.908, 0.659, 0.573, 0.605, 0.566, 0.566, 0.575, 0.776, 0.776, 0.762, 0.715, 0.72, 0.683, 0.558, 0.586, 0.502, 0.499, 0.51, 0.532, 0.555, 0.403, 0.405, 0.38, 0.364, 0.342, 0.356, 0.349, 0.375, 0.363, 0.337, 0.339, 0.343, 0.32, 0.329, 0.312, 0.318]
RUR-Tipo6:DU = [0.131, 0.132, 0.124, 0.183, 0.152, 0.105, 0.116, 0.138, 0.105, 0.128, 0.122, 0.119, 0.128, 0.119, 0.125, 0.115, 0.124, 0.123, 0.214, 0.315, 0.365, 0.324, 0.378, 0.38, 0.494, 0.401, 0.409, 0.485, 0.345, 0.23, 0.239, 0.216, 0.24, 0.289, 0.222, 0.242, 0.297, 0.328, 0.328, 0.344, 0.346, 0.314, 0.441, 0.502, 0.326, 0.367, 0.242, 0.244, 0.27, 0.261, 0.23, 0.239, 0.317, 0.335, 0.372, 0.35, 0.338, 0.311, 0.325, 0.514, 0.32, 0.247, 0.281, 0.394, 0.549, 0.594, 0.459, 0.395, 0.466, 0.529, 0.751, 0.945, 1.0, 0.894, 0.837, 0.582, 0.666, 0.481, 0.817, 0.405, 0.377, 0.188, 0.269, 0.206, 0.144, 0.225, 0.205, 0.177, 0.174, 0.105, 0.12, 0.119, 0.144, 0.142, 0.143, 0.136]
